trip_id,route_id,service_id,direction_id
110519,20536,Regular,0
120735,23731,Regular,0
30107,23919,Regular,0
76223,13345,Regular,0
113987,24204,Regular,0
110510,20541,Regular,1
94963,11278,Regular,1
10935,11278,Regular,1
114790,21758,Regular,1
118383,20715,Regular,1
10879,11275,Regular,1
121854,24224,Regular,0
11017,21800,Regular,1
121855,24225,Regular,1
110526,20541,Regular,1
9014,23806,Regular,1
16987,12019,Regular,1
115406,23354,Regular,1
106729,21537,Regular,0
95288,15798,Regular,1
110527,20536,Regular,0
79984,23210,Regular,0
120736,23730,Regular,0
67096,17981,Regular,0
67091,17981,Regular,0
121848,24225,Regular,1
120737,23731,Regular,0
121849,24224,Regular,0
10939,11278,Regular,1
112623,23728,Regular,0
120738,19987,Regular,0
117593,23769,Regular,1
93996,19607,Regular,1
84966,3423,Regular,1
84968,3423,Regular,1
84974,3423,Regular,1
49533,11809,Regular,1
84980,3423,Regular,1
118391,20715,Regular,1
84982,3423,Regular,1
98813,19396,Regular,1
66921,11278,Regular,1
120649,20348,Regular,1
10873,11278,Regular,1
98760,19224,Regular,0
33713,23049,Regular,0
94899,11278,Regular,1
38802,15816,Regular,1
93987,23732,Regular,0
90468,24002,Regular,1
110183,22588,Regular,0
111345,22999,Regular,0
121856,24224,Regular,0
12099,23083,Regular,1
118377,24220,Regular,1
98764,20107,Regular,0
20533,13212,Regular,1
4175,23732,Regular,0
98762,20107,Regular,0
121857,24225,Regular,1
104892,20953,Regular,0
2080,23765,Regular,1
33834,23049,Regular,0
72003,19398,Regular,1
94901,11278,Regular,1
89323,18939,Regular,1
119454,23708,Regular,0
105827,21077,Regular,0
10937,11278,Regular,1
20530,13218,Regular,1
104981,22273,Regular,0
30105,23919,Regular,0
93075,23210,Regular,0
103604,16486,Regular,0
103606,16486,Regular,0
6061,11464,Regular,1
103598,16486,Regular,0
121850,24225,Regular,1
78168,23968,Regular,0
105546,23596,Regular,0
37902,16211,Regular,0
77156,21635,Regular,1
11588,14460,Regular,1
10805,11278,Regular,1
121978,24225,Regular,1
10911,11275,Regular,1
10907,11278,Regular,1
77162,21635,Regular,1
12229,23083,Regular,1
60466,19568,Regular,1
108507,23821,Regular,0
82656,21800,Regular,1
11035,21800,Regular,1
103608,16486,Regular,0
103610,16486,Regular,0
103612,16486,Regular,0
77228,21635,Regular,1
93993,23732,Regular,0
77158,21635,Regular,1
121979,24224,Regular,0
77160,21635,Regular,1
98777,19396,Regular,1
77210,21635,Regular,1
33836,23049,Regular,0
77212,21635,Regular,1
68102,23810,Regular,0
121980,24225,Regular,1
121981,24224,Regular,0
53624,16990,Regular,1
43147,12436,Regular,1
11001,21800,Regular,1
98778,19224,Regular,0
95818,24187,Regular,1
121982,24225,Regular,1
32595,23888,Regular,1
11041,21800,Regular,1
61187,17220,Regular,0
4679,23805,Regular,0
114740,21755,Regular,0
121983,24224,Regular,0
77214,21635,Regular,1
121984,24225,Regular,1
77216,21635,Regular,1
94957,11278,Regular,1
77218,21635,Regular,1
10959,16740,Regular,1
53690,16990,Regular,1
77222,21635,Regular,1
66925,11278,Regular,1
12127,23083,Regular,1
43137,12436,Regular,1
121985,24224,Regular,0
110534,20541,Regular,1
41919,23888,Regular,1
114775,21755,Regular,0
99983,23732,Regular,0
10931,11278,Regular,1
94328,12718,Regular,0
121986,24225,Regular,1
77166,21635,Regular,1
33727,23049,Regular,0
77168,21635,Regular,1
94913,11278,Regular,1
106141,23816,Regular,0
121987,24224,Regular,0
94911,11278,Regular,1
77170,21635,Regular,1
94967,11278,Regular,1
70382,16240,Regular,1
76401,13362,Regular,1
76234,13346,Regular,1
76236,13346,Regular,1
10835,11278,Regular,1
10891,11278,Regular,1
10831,11275,Regular,1
10903,11278,Regular,1
121988,24225,Regular,1
121989,24224,Regular,0
10933,11278,Regular,1
111800,16168,Regular,1
77054,17998,Regular,0
98795,19396,Regular,1
87090,24051,Regular,0
121996,24225,Regular,1
121997,24224,Regular,0
44517,22967,Regular,0
118109,24002,Regular,1
10803,11278,Regular,1
77723,13309,Regular,1
94464,23919,Regular,0
113367,22488,Regular,0
111910,21533,Regular,0
120710,23730,Regular,0
120706,23730,Regular,0
120707,23731,Regular,0
94893,11278,Regular,1
120708,23730,Regular,0
120709,23731,Regular,0
118115,24002,Regular,1
120711,23731,Regular,0
111822,21533,Regular,0
98782,20107,Regular,0
94903,11278,Regular,1
98732,20107,Regular,0
120712,19987,Regular,0
70837,13259,Regular,0
120703,19984,Regular,1
70839,13259,Regular,0
70838,13256,Regular,1
120704,23730,Regular,0
90736,24035,Regular,0
120705,23731,Regular,0
94895,11278,Regular,1
120677,23693,Regular,0
2115,18764,Regular,1
111840,21533,Regular,0
120678,23731,Regular,0
111894,21533,Regular,0
68963,13388,Regular,0
54094,11735,Regular,0
70888,13273,Regular,1
47280,23775,Regular,0
66917,23446,Regular,1
120679,23730,Regular,0
111990,21669,Regular,0
111977,21669,Regular,0
98730,19224,Regular,0
10828,11276,Regular,0
120680,23731,Regular,0
120681,23730,Regular,0
98734,20107,Regular,0
98738,20107,Regular,0
120682,23731,Regular,0
120683,23730,Regular,0
112251,21848,Regular,0
10924,11276,Regular,0
10956,16734,Regular,0
50986,18347,Regular,1
10918,11277,Regular,0
120684,23731,Regular,0
10916,11277,Regular,0
11036,16734,Regular,0
120685,23730,Regular,0
77903,13315,Regular,1
62262,19247,Regular,1
98741,19396,Regular,1
107365,21375,Regular,0
93926,23775,Regular,0
30027,23919,Regular,0
120686,23731,Regular,0
10896,11277,Regular,0
10930,11277,Regular,0
120687,23730,Regular,0
11004,16734,Regular,0
10908,11276,Regular,0
120688,23731,Regular,0
10940,11276,Regular,0
10912,11277,Regular,0
111818,16168,Regular,1
120689,19987,Regular,0
83221,16739,Regular,0
113346,22496,Regular,0
120713,23693,Regular,0
78854,12599,Regular,0
112286,21870,Regular,0
30007,23919,Regular,0
2110,10084,Regular,0
119456,23708,Regular,0
120714,23731,Regular,0
120715,23730,Regular,0
62266,19247,Regular,1
111817,16166,Regular,0
2124,10084,Regular,0
10882,11277,Regular,0
120716,23731,Regular,0
10816,11277,Regular,0
10928,11277,Regular,0
66922,11277,Regular,0
120717,23730,Regular,0
10880,11277,Regular,0
120718,23731,Regular,0
120719,23730,Regular,0
120720,23731,Regular,0
119458,23708,Regular,0
119460,23708,Regular,0
34039,23919,Regular,0
71868,17790,Regular,1
112003,21669,Regular,0
70813,13259,Regular,0
70815,13259,Regular,0
70812,13256,Regular,1
70814,13256,Regular,1
70816,13256,Regular,1
70819,13259,Regular,0
9862,10684,Regular,0
70820,13256,Regular,1
70822,13256,Regular,1
119500,23708,Regular,0
10826,11277,Regular,0
10832,11277,Regular,0
120721,23730,Regular,0
120722,23731,Regular,0
120723,23730,Regular,0
30663,16765,Regular,1
114745,23729,Regular,0
83176,17312,Regular,0
93920,23775,Regular,0
10810,11277,Regular,0
10808,11277,Regular,0
70824,13256,Regular,1
120724,23731,Regular,0
120725,19987,Regular,0
70825,13259,Regular,0
70827,13259,Regular,0
120739,23693,Regular,0
10934,11277,Regular,0
10932,11277,Regular,0
119502,23708,Regular,0
10874,11277,Regular,0
70826,13256,Regular,1
120740,23731,Regular,0
10868,11277,Regular,0
31609,23396,Regular,0
111836,16168,Regular,1
42984,12407,Regular,0
111835,16166,Regular,0
6898,20312,Regular,0
87763,24010,Regular,1
119504,23708,Regular,0
32983,20536,Regular,0
120741,23730,Regular,0
120742,23731,Regular,0
121994,24225,Regular,1
120743,23730,Regular,0
120744,23731,Regular,0
120745,23730,Regular,0
120746,23731,Regular,0
120747,23730,Regular,0
70830,13256,Regular,1
120748,23731,Regular,0
70832,13256,Regular,1
119492,23708,Regular,0
112269,20919,Regular,0
112305,20919,Regular,0
119494,23708,Regular,0
67529,21691,Regular,0
90826,24197,Regular,0
90997,24197,Regular,0
119496,23708,Regular,0
64679,10914,Regular,1
91551,23995,Regular,1
115724,22603,Regular,1
42673,12428,Regular,0
27221,11464,Regular,1
78939,13336,Regular,0
70836,13256,Regular,1
120749,23730,Regular,0
120750,23731,Regular,0
10988,16734,Regular,0
70840,13256,Regular,1
10902,11277,Regular,0
120751,19987,Regular,0
70842,13256,Regular,1
52809,24065,Regular,0
