route_id,route_short_name,route_long_name,route_type,agency_id
18872,46 CT,Ayanavaram B.T TO M.G.R.Koyambedu,3,69
15773,147C,Kilambakkam B.T TO Ambattur I.E.,3,69
17712,45A,Vivekananda House TO N.G.O.Colony,3,69
20536,7H CT1,Anna Nagar West TO J.J.Nagar East,3,69
23769,G18,Guduvanchery TO Thyagaraya Nagar,3,69
17713,M88 ct1,Amarambedu East TO Vadapalani,3,69
23770,M51,Thyagaraya Nagar TO Prathyangira Devi Temple,3,69
23771,597A R1,Thiruvallur TO Poonamallee B.T,3,69
15096,29E,Perambur B.T TO Otteri,3,69
18884,S17,Adyar B.T TO Mandaveli,3,69
17715,515A,Tambaram West TO Mamallapuram,3,69
11610,515A,Kovalam TO Tambaram West,3,69
18887,46G CT3,Vyasarpadi (Depot) TO M.K.B.Nagar,3,69
20541,7H CT5,J.J.Nagar East TO Anna Nagar West,3,69
18889,57X CT1,Vyasarpadi TO Vallalar Nagar,3,69
10517,188K,Katrambakkam TO Iyyappanthangal,3,69
18893,57X CT3,Redhills TO Periyapalayam,3,69
15108,29A,Secretariat TO Anna Square,3,69
18895,57X CT4,Vallalar Nagar TO Vyasarpadi,3,69
11619,515A,Thiruporur TO Tambaram West,3,69
17719,579A,Nehru Nagar TO Walajabad,3,69
10526,104A,M.G.R.Koyambedu TO Avadi B.T,3,69
15890,120A,Ambattur Industrial Estate TO Avadi Bus Terminus,3,69
15893,202X,Avadi Bus Terminus TO Tambaram West Bus Stand,3,69
11690,51X,Kilambakkam B.T TO Tambaram West,3,69
12154,579A,Oragadam TO Tambaram Sanatorium,3,69
15895,57M,Alamathi TO Redhills,3,69
12156,579A,Tambaram Sanatorium TO Oragadam,3,69
13072,J51,Venkadamangalam TO N.G.O.Colony,3,69
11083,31A,Tambaram West TO Agaramthen,3,69
12165,579A,Walajabad TO Nehru Nagar,3,69
13080,G18,Thyagaraya Nagar TO Cement Road,3,69
23774,19A R2,Thyagaraya Nagar TO Semmancheri S.C.B,3,69
17276,121,Tondiarpet TO Minjur,3,69
10520,188K,Katrambakkam TO Thyagaraya Nagar,3,69
23776,104C R1,Kilambakkam B.T TO M.G.R.Koyambedu,3,69
23777,19BEt,Thaiyur Koman Nagar TO Thyagaraya Nagar,3,69
17725,77T,Thirumullaivoyal Colony TO Ambattur I.E,3,69
10525,188K,Thyagaraya Nagar TO Katrambakkam,3,69
10251,102C,Broadway TO Semmancheri S.C.B,3,69
18911,147A,J.J.Nagar East TO Thyagaraya Nagar,3,69
20549,7M CT6,J.J.Nagar West TO Anna Nagar West,3,69
11698,51X,Velachery B.T TO Kilambakkam B.T,3,69
11700,51X,Velachery B.T TO N.G.O.Colony,3,69
18916,29E,Thiruverkadu TO Perambur B.T,3,69
13315,S26,Valasaravakkam TO Ashok Nagar Metro R.S,3,69
13317,S26,Valasaravakkam TO Ashok Pillar,3,69
13318,S26,Valasaravakkam TO K.K.Nagar,3,69
13371,S36,D.M.S. Metro TO Nungambakkam R.S,3,69
13372,S36,Nungambakkam R.S TO Thyagaraya Nagar,3,69
13373,S36,Nungambakkam R.S TO D.M.S. Metro,3,69
17263,66,Poonamallee Terminus TO Kilambakkam Bus Terminus,3,69
23783,18A CT13,Kilambakkam to M.G.R.Koyambedu,3,69
17431,102CT,Thiruvanmiyur TO Kelambakkam,3,69
13313,S19,Kumaran Kundram TO Keelkattalai,3,69
13254,S166,Manimedu(Akashnagar) TO Iyyappanthangal,3,69
11945,557M,Madurapakkam TO Redhills,3,69
11952,557M,Redhills TO Madurapakkam,3,69
11953,557M,Redhills TO Padiyanallur,3,69
11955,557M,Redhills TO Uthukottai,3,69
11957,557M,Uthukottai TO Redhills,3,69
13272,S145,M.G.R.Koyambedu TO Ayanavaram B.T,3,69
20556,7M CT,Anna Nagar West TO J.J.Nagar West,3,69
13157,M19B,Kannagi Nagar S.C.B TO Thyagaraya Nagar,3,69
13162,M19B,Thyagaraya Nagar TO Kannagi Nagar S.C.B,3,69
15058,M19B,Thyagaraya Nagar TO Adyar B.T,3,69
18939,147A CT,Thiyagarayanagar TO J.J.Nagar East,3,69
18940,147B CT,Thyagaraya Nagar TO Anna Nagar West,3,69
18941,147B,Thyagaraya Nagar TO J.J.Nagar West,3,69
13098,M1,Cement Road TO Keelkattalai,3,69
18944,147CCt,Thyagaraya Nagar TO Ambattur I.E,3,69
18945,147V,Thyagaraya Nagar TO Venkatachalam Nagar,3,69
13100,M1,Keelkattalai TO Cement Road,3,69
13103,M1,Nanganallur TO Cement Road,3,69
18947,47DCt,Thyagaraya Nagar TO Korattur,3,69
18942,147C,Thiyagarayanagar Terminus TO Ambattur I.E,3,69
23795,104C CT11,Ambattur Industrial Estate TO  Kilambakkam,3,69
23796,104C CT12,M.G.R.Koyambedu  TO  Ambattur Industrial,3,69
13236,S1,Pallavaram R.S TO Thirisulam Sakhi Nagar,3,69
13241,S1,Thirisulam Sakhi Nagar TO Pallavaram R.S,3,69
17970,63,Ambattur Industrial Estate TO Icf,3,69
23797,109 CT3,Central Depot TO  Island ground,3,69
18951,A47,Thiruvanmiyur TO Avadi B.T,3,69
13235,S1,Chromepet-I TO Thirisulam Sakhi Nagar,3,69
10489,188A,Kundrathur B.T TO Thyagaraya Nagar,3,69
17238,63,Thiruverkadu TO Villivakkam,3,69
13275,S169,Moolakadai TO Thangal Tollgate,3,69
13278,S169,Thangal Tollgate TO Moolakadai,3,69
15803,170TX,Kilambakkam B.S TO Kaviarasu Kannadasan Nagar,3,69
23801,18A CT14,Kilambakkam TO  Saidapet,3,69
10492,188A,Thyagaraya Nagar TO Kundrathur B.T,3,69
13350,S48,Siranjivi Nagar TO Avadi B.T,3,69
18952,47D CT,Thiruvanmiyur TO Ambattur I.E,3,69
3159,66K,Kundrathur TO Kilambakkam,3,69
23802,18A CT15,Saidapet  TO  Kilambakkam,3,69
11965,558A,Redhills TO Ponneri,3,69
18953,47D,Thiruvanmiyur TO Avadi B.T,3,69
11960,558A,Minjur TO Redhills,3,69
15927,A45B,Alandur (Depot) TO Guindy Tvk Estate,3,69
16365,70ACt,Senthil Nagar TO Koyambedu Market,3,69
12645,70ACt,Ambattur I.E TO M.G.R.Koyambedu,3,69
12648,70ACt,Avadi B.T TO M.G.R.Koyambedu,3,69
12650,70ACt,Koyambedu Market TO Senthil Nagar,3,69
12651,70ACt,M.G.R.Koyambedu TO Ambattur I.E,3,69
12653,70ACt,M.G.R.Koyambedu TO Avadi B.T,3,69
12655,70ACt,M.G.R.Koyambedu TO Senthil Nagar,3,69
12657,70ACt,Senthil Nagar TO M.G.R.Koyambedu,3,69
11954,568B,Adyar Depot TO Thiruporur,3,69
23811,49A,Thyagaraya Nagar TO Poonamallee B.T,3,69
23812,49A,Poonamallee B.T TO Thyagaraya Nagar,3,69
23813,49A,Thyagaraya Nagar TO Iyyappanthangal,3,69
23814,49A,Iyyappanthangal TO Thyagaraya Nagar,3,69
17233,70,Tambaram West TO Vadapalani,3,69
11949,566B,Tambaram West TO Iyyappanthangal,3,69
11951,566B,Tambaram West TO Kovalam,3,69
20565,221 RE1,M.G.R.Central TO Thiruporur,3,69
12800,77Ct,Venkatachalam Nagar TO Ambattur I.E,3,69
12221,57F,Karanodai TO M.K.B.Nagar,3,69
23817,597 R,Thiruvallur TO Thyagaraya Nagar,3,69
12952,B70Ct,Ambattur I.E TO Devik Eswari Nagar,3,69
12954,B70Ct,Devik Eswari Nagar TO Ambattur I.E,3,69
14952,76B,M.G.R.Koyambedu TO Medavakkam Rd.Jn,3,69
3283,91V,Tambaram West Bus Stand TO Kilambakkam Bus Terminus,3,69
7317,70J,Ambattur Industrial Estate Depot TO J J Nagar West Terminus,3,69
3290,202,Avadi Bus Terminus TO Tambaram West Bus Stand,3,69
16328,SM1Ct,Velachery TO Keelkattalai,3,69
23819,CU2 CT2,MGR CHENNAI CENTRAL TO Mgr Central Railway Station,3,69
12885,89TCt,Somangalam TO Kundrathur Depot,3,69
3460,515M,Mamallapuram TO Kilambakkam Bus Terminus,3,69
15928,D70,Alandur (Depot) TO Guindy Tvk Estate,3,69
3503,95X,Thiruvanmiyur Bus Stand TO Tambaram East Bus Stop,3,69
11899,55DEt,Kandigai TO Tambaram West,3,69
3506,95X,Tambaram East Bus Stop TO Kilambakkam Bus Terminus,3,69
18975,118Et,Tambaram West TO Kalivanthapattu,3,69
11905,55DEt,Tambaram West TO Kandigai,3,69
23825,11M R1,Royapuram terminus  TO Iyyappanthangal  B.S,3,69
12435,61R,Padiyanallur TO Redhills,3,69
12413,61E,Avadi B.T TO Kilkondaiyur,3,69
3513,95X,Tambaram East Bus Stop TO Thiruvanmiyur Bus Stand,3,69
12028,55B,Pazhanthandalam TO Tambaram West,3,69
12040,55B,Tambaram West TO Pazhanthandalam,3,69
12425,61E,Kilkondaiyur TO Koyambedu Market,3,69
12426,61E,Koyambedu Market TO Kilkondaiyur,3,69
12019,55A,Nehru Nagar TO Pallavaram,3,69
11984,558C,Padiyanallur TO Redhills,3,69
11989,558C,Redhills TO Padiyanallur,3,69
11991,558C,Redhills TO Ponneri,3,69
12022,55A,Pallavaram TO Nehru Nagar,3,69
12024,55A,Pallavaram TO Pazhanthandalam,3,69
20577,57 CT2,Moolakadai TO Redhills,3,69
12025,55A,Pallavaram TO Poonthandalam,3,69
12026,55A,Pazhanthandalam TO Pallavaram,3,69
12027,55A,Poonthandalam TO Pallavaram,3,69
18978,118N,Tambaram West TO Neelamangalam,3,69
12407,61C,Avadi B.T TO Ellaiamman Nagar,3,69
20579,57 CT3,Vallalar Nagar TO Moolakadai,3,69
12428,61K,Avadi B.T TO Kanniamman Nagar,3,69
12438,61R,Redhills TO Padiyanallur,3,69
12005,558P,Padiyanallur TO Redhills,3,69
12007,558P,Perumbedukuppam TO Ponneri,3,69
2743,579C,Tambaram Sanatorium Bus Stand TO Oragadam,3,69
12008,558P,Perumbedukuppam TO Redhills,3,69
12009,558P,Ponneri TO Perumbedukuppam,3,69
12012,558P,Ponneri TO Redhills,3,69
12013,558P,Redhills TO Padiyanallur,3,69
12014,558P,Redhills TO Perumbedukuppam,3,69
