trip_id,start_time,end_time,headway_secs,exact_times
CMRL_3_saturday_d1_20,20:00:00,22:00:00,840,0
CMRL_3_saturday_d1_22,22:00:00,23:00:00,1800,0
CMRL_3_sunday_d0_05,05:00:00,12:00:00,600,0
CMRL_3_sunday_d0_12,12:00:00,20:00:00,840,0
CMRL_3_sunday_d0_20,20:00:00,22:00:00,600,0
CMRL_3_sunday_d0_22,22:00:00,23:00:00,900,0
CMRL_3_sunday_d1_05,05:00:00,12:00:00,600,0
CMRL_3_sunday_d1_12,12:00:00,20:00:00,840,0
CMRL_3_sunday_d1_20,20:00:00,22:00:00,600,0
CMRL_3_sunday_d1_22,22:00:00,23:00:00,900,0
